City,Province,Year,Boys_Enrolled,Girls_Enrolled,Gender_parity_score,%_Complete_Primary_Schools,Complete_Primary_Schools,%_Primary_Schools_with_single_classroom,Primary_Schools_with_single_classroom,Number_of_primary_schools_as_%_of_total_schools,Number_of_primary_schools,%_Primary_Schools_with_single_teacher,Primary_Schools_with_single_teacher,Number_of_secondary_schools_as_%_of_total_schools,Number_of_secondary_schools,Total_number_of_schools,Population,Area ,Boundary_wall,Building_condition_satisfactory,Drinking_water,Toilet,Electricity,"Boundary wall, Building condition satisfactory, Drinking water and 2 more (clusters)",School_infrastructure_score,Education_score,Learning_score,Enrolment_score,Retention_score,Educational_Budget_Spend_of_GDP,Pakistan_Economic_Growth,Bomb_Blasts_Occurred,Drone_attacks_in_Pakistan,Terrorist_Attacks_Affectees,Global_Terrorism_Index_Pakistan
Bagh,AJK,2013,0.5477,0.4523,0.825817053,0.936599424,325,0.034582133,12,0.577371048,347,0.028818444,10,0.422628952,254,601,351415,768,15.58073654,30.02832861,30.87818697,37.39376771,10.76487252,Cluster 1,24.92917847,64.89409293,67.8,81.75,14.8,2.59,0.037,41,24,5379,9.07
Bhimber,AJK,2013,0.625,0.375,0.6,0.594202899,246,0.359903382,149,0.695798319,414,0.04589372,19,0.304201681,181,595,301633,1516,25.28473804,48.51936219,30.523918,20.72892939,19.36218679,Cluster 1,28.88382688,74.48360991,54.9,80.33333333,75.2,2.59,0.037,41,24,5379,9.07
Hattian,AJK,2013,0.8663,0.1337,0.154334526,0.9390681,262,0.021505376,6,0.736147757,279,0.039426523,11,0.263852243,100,379,,,7.971014493,13.76811594,39.13043478,43.84057971,7.608695652,Cluster 1,22.46376812,47.57908416,48.2,78.75,,2.59,0.037,41,24,5379,9.07
Haveli,AJK,2013,0.6077,0.3923,0.645548791,0.827225131,158,0.041884817,8,0.729007634,191,0.130890052,25,0.270992366,71,262,150000,600,3.20855615,6.417112299,27.80748663,26.20320856,1.604278075,Cluster 1,13.04812834,53.02104197,42.1,80.75,,2.59,0.037,41,24,5379,9.07
Kotli,AJK,2013,0.6075,0.3925,0.646090535,0.592348285,449,0.346965699,263,0.731660232,758,0.060686016,46,0.268339768,278,1036,834094,2162,11.33069829,47.16732543,17.12779974,14.88801054,10.40843215,Cluster 1,20.18445323,69.42839506,36.43333333,78.83333333,73.2,2.59,0.037,41,24,5379,9.07
Mirpur,AJK,2013,0.5848,0.4152,0.70998632,0.582191781,255,0.173515982,76,0.706451613,438,0.244292237,107,0.293548387,182,620,754482,2310,61.07055961,67.63990268,43.30900243,33.57664234,50.60827251,Cluster 1,51.24087591,71.77102051,47.53333333,76.83333333,71.2,2.59,0.037,41,24,5379,9.07
Muzaffarabad,AJK,2013,0.6836,0.3164,0.462843768,0.940717629,603,0.026521061,17,0.718609865,641,0.03276131,21,0.281390135,251,892,638973,2496,18.16770186,20.65217391,33.38509317,40.83850932,7.298136646,Cluster 1,24.06832298,55.98838988,50.4,77.91666667,14,2.59,0.037,41,24,5379,9.07
Neelum,AJK,2013,0.8078,0.1922,0.237930181,0.737327189,160,0.184331797,40,0.777777778,217,0.078341014,17,0.222222222,62,279,,,13.48837209,29.76744186,44.65116279,42.79069767,4.651162791,Cluster 1,27.06976744,67.31347325,55.36666667,74.66666667,70,2.59,0.037,41,24,5379,9.07
Poonch,AJK,2013,0.626,0.374,0.597444089,0.846975089,476,0.112099644,63,0.679564692,562,0.040925267,23,0.320435308,265,827,411035,855,4.416961131,17.66784452,9.893992933,15.19434629,1.413427562,Cluster 1,9.717314488,82.93829677,77.6,78.75,88,2.59,0.037,41,24,5379,9.07
Sudhnutti,AJK,2013,0.5787,0.4213,0.728011059,0.707042254,251,0.225352113,80,0.718623482,355,0.067605634,24,0.281376518,139,494,204091,569,3.125,61.64772727,8.806818182,8.522727273,1.136363636,Cluster 1,16.64772727,74.76496119,42,79.33333333,85.6,2.59,0.037,41,24,5379,9.07
Awaran,Balochistan,2013,1,,0,0.239631336,52,0.188940092,41,0.812734082,217,0.571428571,124,0.187265918,50,267,118173,12510,41.50943396,5.660377358,54.71698113,11.79245283,0.943396226,Cluster 1,22.9245283,47.97837621,22.45,85,37.6,2.59,0.037,41,24,5379,9.07
Barkhan,Balochistan,2013,0.8821,0.1179,0.133658315,,,0.394316163,222,0.924466338,563,0.811722913,457,0.075533662,46,609,103545,3514,31.17338004,31.52364273,64.44833625,1.576182137,16.46234676,Cluster 1,29.03677758,43.24068464,18.775,30,62.4,2.59,0.037,41,24,5379,9.07
